,target,.predictions,.gap_predictions,QCF_target#gfRF,target#gfRF,.predictions_fallback,.gapfilled_cumulative
,-,[aux],[aux],[0=measured],-,[aux],[aux]
2020-05-12 16:15:00,33.850699999999996,,,0,33.850699999999996,12.930633960142885,33.850699999999996
2020-05-12 16:45:00,-2.8038999999999996,,,0,-2.8038999999999996,12.930633960142885,31.046799999999998
2020-05-12 17:15:00,3.16274,,,0,3.16274,2.430308921952378,34.20954
2020-05-12 17:45:00,-1.92879,,,0,-1.92879,2.430308921952378,32.28075
2020-05-12 18:15:00,3.5060700000000002,,,0,3.5060700000000002,4.858799127922616,35.78682
2020-05-12 18:45:00,6.90085,,,0,6.90085,4.858799127922616,42.68767
2020-05-12 19:15:00,1.7894700000000001,,,0,1.7894700000000001,3.097402245494785,44.47714
2020-05-12 19:45:00,,,,2,3.097402245494785,3.097402245494785,47.57454224549478
2020-05-12 20:15:00,4.13472,,,0,4.13472,5.311803658344873,51.709262245494784
2020-05-12 20:45:00,,,,2,5.311803658344873,5.311803658344873,57.021065903839656
2020-05-12 21:15:00,6.91017,,,0,6.91017,11.142443179788284,63.93123590383966
2020-05-12 21:45:00,18.330099999999998,,,0,18.330099999999998,11.142443179788284,82.26133590383965
2020-05-12 22:15:00,-1.6321599999999998,,,0,-1.6321599999999998,-0.7701478135887551,80.62917590383965
2020-05-12 22:45:00,-4.27681,,,0,-4.27681,-0.7701478135887551,76.35236590383965
2020-05-12 23:15:00,,,,2,11.611303373571419,11.611303373571419,87.96366927741107
2020-05-12 23:45:00,21.0529,,,0,21.0529,11.611303373571419,109.01656927741107
2020-05-13 00:15:00,,,,2,0.2678625223586407,0.2678625223586407,109.2844317997697
2020-05-13 00:45:00,1.17694,,,0,1.17694,0.2678625223586407,110.46137179976971
2020-05-13 01:15:00,,,,2,3.090651951093766,3.090651951093766,113.55202375086347
2020-05-13 01:45:00,,,,2,3.090651951093766,3.090651951093766,116.64267570195723
2020-05-13 02:15:00,,,,2,2.511945331537593,2.511945331537593,119.15462103349482
2020-05-13 02:45:00,3.85723,,,0,3.85723,2.511945331537593,123.01185103349482
2020-05-13 03:15:00,2.18903,,,0,2.18903,2.596796401460025,125.20088103349482
2020-05-13 03:45:00,,,,2,2.596796401460025,2.596796401460025,127.79767743495485
2020-05-13 04:15:00,,,,2,1.5707214134088132,1.5707214134088132,129.36839884836365
2020-05-13 04:45:00,,,,2,1.5707214134088132,1.5707214134088132,130.93912026177247
2020-05-13 05:15:00,3.82197,3.9212968399999593,,0,3.82197,1.8827189473884003,134.76109026177247
2020-05-13 05:45:00,-1.57117,2.2540352340000016,,0,-1.57117,1.8827189473884003,133.18992026177247
2020-05-13 06:15:00,,11.229730702000095,11.229730702000095,1,11.229730702000095,13.02394110447599,144.41965096377257
2020-05-13 06:45:00,,17.158241524000324,17.158241524000324,1,17.158241524000324,13.02394110447599,161.57789248777289
2020-05-13 07:15:00,31.309299999999997,20.520466754000328,,0,31.309299999999997,20.859776302776766,192.8871924877729
2020-05-13 07:45:00,13.521500000000001,6.754114069999906,,0,13.521500000000001,20.859776302776766,206.4086924877729
2020-05-13 08:15:00,,-11.559409999999923,-11.559409999999923,1,-11.559409999999923,-21.417898184567708,194.84928248777297
2020-05-13 08:45:00,-40.9471,-21.89995005000008,,0,-40.9471,-21.417898184567708,153.90218248777296
2020-05-13 09:15:00,,-12.772122680000015,-12.772122680000015,1,-12.772122680000015,-3.7576999012236176,141.13005980777294
2020-05-13 09:45:00,6.0979399999999995,1.7175599800000383,,0,6.0979399999999995,-3.7576999012236176,147.22799980777293
2020-05-13 10:15:00,-1.6761899999999998,0.25051198000000163,,0,-1.6761899999999998,3.850854187887126,145.55180980777294
2020-05-13 10:45:00,10.495000000000001,8.20588991999994,,0,10.495000000000001,3.850854187887126,156.04680980777295
2020-05-13 11:15:00,6.31642,7.793231390000054,,0,6.31642,8.79953058194629,162.36322980777294
2020-05-13 11:45:00,12.6147,11.007411780000018,,0,12.6147,8.79953058194629,174.97792980777294
2020-05-13 12:15:00,8.74405,10.748425239999937,,0,8.74405,11.333938050643175,183.72197980777293
2020-05-13 12:45:00,,14.550306219999948,14.550306219999948,1,14.550306219999948,11.333938050643175,198.27228602777288
2020-05-13 13:15:00,23.1417,16.843040539999986,,0,23.1417,13.331674237316843,221.41398602777286
2020-05-13 13:45:00,5.00774,7.396521100000031,,0,5.00774,13.331674237316843,226.42172602777288
2020-05-13 14:15:00,,6.300705300000031,6.300705300000031,1,6.300705300000031,3.8837766475274225,232.7224313277729
2020-05-13 14:45:00,,0.7037277600000045,0.7037277600000045,1,0.7037277600000045,3.8837766475274225,233.4261590877729
2020-05-13 15:15:00,-21.9636,-10.56101317999991,,0,-21.9636,-5.773285931846599,211.4625590877729
2020-05-13 15:45:00,6.86368,1.3957485699999967,,0,6.86368,-5.773285931846599,218.32623908777288
2020-05-13 16:15:00,3.8608499999999997,4.138875150000023,,0,3.8608499999999997,6.966549637595388,222.18708908777288
2020-05-13 16:45:00,8.883780000000002,8.234359650000073,,0,8.883780000000002,6.966549637595388,231.07086908777288
2020-05-13 17:15:00,16.572,14.726592690000073,,0,16.572,18.55161278146757,247.64286908777288
2020-05-13 17:45:00,23.8685,19.025677930000104,,0,23.8685,18.55161278146757,271.5113690877729
2020-05-13 18:15:00,,15.557038859999928,15.557038859999928,1,15.557038859999928,14.80245081169337,287.0684079477728
2020-05-13 18:45:00,13.742600000000001,13.641453279999816,,0,13.742600000000001,14.80245081169337,300.8110079477728
2020-05-13 19:15:00,,12.92009306999984,12.92009306999984,1,12.92009306999984,12.010577350252442,313.73110101777263
2020-05-13 19:45:00,,11.953803389999871,11.953803389999871,1,11.953803389999871,12.010577350252442,325.6849044077725
2020-05-13 20:15:00,6.8792100000000005,7.448556710000014,,0,6.8792100000000005,3.3295894028451385,332.5641144077725
2020-05-13 20:45:00,-2.25529,1.4664047000000007,,0,-2.25529,3.3295894028451385,330.3088244077725
2020-05-13 21:15:00,,1.9871370119999927,1.9871370119999927,1,1.9871370119999927,2.7680619672987525,332.2959614197725
2020-05-13 21:45:00,,1.9533478919999925,1.9533478919999925,1,1.9533478919999925,2.7680619672987525,334.2493093117725
2020-05-13 22:15:00,,2.334808720000002,2.334808720000002,1,2.334808720000002,2.405430065610673,336.5841180317725
2020-05-13 22:45:00,3.12627,2.8006836140000315,,0,3.12627,2.405430065610673,339.7103880317725
2020-05-13 23:15:00,3.26267,2.1602882340000127,,0,3.26267,-2.301055916317983,342.9730580317725
2020-05-13 23:45:00,-12.0975,-6.430863615999934,,0,-12.0975,-2.301055916317983,330.87555803177247
2020-05-14 00:15:00,,-4.718583085999945,-4.718583085999945,1,-4.718583085999945,-2.0803963042900895,326.1569749457725
2020-05-14 00:45:00,,-0.9479075159999978,-0.9479075159999978,1,-0.9479075159999978,-2.0803963042900895,325.2090674297725
