,target,.predictions,.gap_predictions,QCF_target#gfRF,target#gfRF,.predictions_fallback,.gapfilled_cumulative
,-,[aux],[aux],[0=measured],-,[aux],[aux]
2020-05-12 17:15:00,3.63201,,,0,3.63201,3.484507381857115,3.63201
2020-05-12 17:45:00,3.46001,,,0,3.46001,3.484507381857115,7.09202
2020-05-12 18:15:00,3.31674,,,0,3.31674,3.1825730646666974,10.40876
2020-05-12 18:45:00,2.9834,,,0,2.9834,3.1825730646666974,13.392159999999999
2020-05-12 19:15:00,3.2170900000000002,,,0,3.2170900000000002,2.9256656315714666,16.60925
2020-05-12 19:45:00,2.56219,,,0,2.56219,2.9256656315714666,19.17144
2020-05-12 20:15:00,3.66284,,,0,3.66284,3.3647665144223717,22.83428
2020-05-12 20:45:00,,,,2,3.3647665144223717,3.3647665144223717,26.19904651442237
2020-05-12 21:15:00,,,,2,3.2460972655827067,3.2460972655827067,29.445143780005075
2020-05-12 21:45:00,,,,2,3.2460972655827067,3.2460972655827067,32.69124104558778
2020-05-12 22:15:00,,,,2,3.148865639125708,3.148865639125708,35.84010668471349
2020-05-12 22:45:00,,,,2,3.148865639125708,3.148865639125708,38.9889723238392
2020-05-12 23:15:00,,,,2,3.146940302829872,3.146940302829872,42.13591262666907
2020-05-12 23:45:00,,,,2,3.146940302829872,3.146940302829872,45.282852929498944
2020-05-13 00:15:00,,,,2,1.680296084418103,1.680296084418103,46.96314901391705
2020-05-13 00:45:00,,,,2,1.680296084418103,1.680296084418103,48.64344509833515
2020-05-13 01:15:00,,,,2,1.6932367070847716,1.6932367070847716,50.33668180541992
2020-05-13 01:45:00,,,,2,1.6932367070847716,1.6932367070847716,52.02991851250469
2020-05-13 02:15:00,1.37793,,,0,1.37793,1.7066097721800129,53.40784851250469
2020-05-13 02:45:00,2.03917,,,0,2.03917,1.7066097721800129,55.44701851250469
2020-05-13 03:15:00,1.60283,,,0,1.60283,1.6431417425133525,57.04984851250469
2020-05-13 03:45:00,,,,2,1.6431417425133525,1.6431417425133525,58.69299025501804
2020-05-13 04:15:00,2.02695,,,0,2.02695,1.882980593656192,60.71994025501804
2020-05-13 04:45:00,,,,2,1.882980593656192,1.882980593656192,62.60292084867423
2020-05-13 05:15:00,,,,2,1.88378860745072,1.88378860745072,64.48670945612496
2020-05-13 05:45:00,,,,2,1.88378860745072,1.88378860745072,66.37049806357568
2020-05-13 06:15:00,1.83148,1.7529126800000339,,0,1.83148,1.7086288745285396,68.20197806357568
2020-05-13 06:45:00,1.58157,1.6458876900000328,,0,1.58157,1.7086288745285396,69.78354806357568
2020-05-13 07:15:00,,1.681196180000025,1.681196180000025,1,1.681196180000025,1.7158158755664392,71.46474424357571
